id,options,times,pointX,pointY,username
16535,slide,1572936920960,856,993,92
16536,slide,1572936920977,856,993,92
16537,click_left,1572936921027,856,993,92
16538,slide,1572936921030,856,994,92
16539,slide,1572936921043,856,994,92
16540,slide,1572936921060,856,994,92
16541,slide,1572936921077,857,994,92
16542,release_left,1572936921164,857,994,92
16543,slide,1572936921721,857,994,92
16544,slide,1572936921728,857,994,92
16545,slide,1572936921744,857,993,92
16546,slide,1572936921760,856,993,92
16547,slide,1572936921777,856,992,92
16548,slide,1572936921793,856,991,92
16549,slide,1572936921810,856,991,92
16550,slide,1572936921827,856,989,92
16551,slide,1572936921843,856,989,92
16552,slide,1572936921860,856,986,92
16553,slide,1572936921875,857,983,92
16554,slide,1572936921894,858,976,92
16555,slide,1572936921910,858,971,92
16556,slide,1572936921926,859,966,92
16557,slide,1572936921943,859,962,92
16558,slide,1572936921961,859,959,92
16559,slide,1572936921977,859,957,92
16560,slide,1572936921993,859,953,92
16561,slide,1572936922010,859,949,92
16562,slide,1572936922027,859,943,92
16563,slide,1572936922044,860,939,92
16564,slide,1572936922060,860,932,92
16565,slide,1572936922077,860,926,92
16566,slide,1572936922093,860,919,92
16567,slide,1572936922109,860,909,92
16568,slide,1572936922126,860,899,92
16569,slide,1572936922144,860,887,92
16570,slide,1572936922160,860,875,92
16571,slide,1572936922177,860,861,92
16572,slide,1572936922194,859,848,92
16573,slide,1572936922210,859,834,92
16574,slide,1572936922226,859,820,92
16575,slide,1572936922243,859,812,92
16576,slide,1572936922260,860,798,92
16577,slide,1572936922277,861,790,92
16578,slide,1572936922293,864,770,92
16579,slide,1572936922310,865,756,92
16580,slide,1572936922326,867,738,92
16581,slide,1572936922343,870,722,92
16582,slide,1572936922360,877,690,92
16583,slide,1572936922376,884,668,92
16584,slide,1572936922393,890,652,92
16585,slide,1572936922410,898,634,92
16586,slide,1572936922426,903,621,92
16587,slide,1572936922444,906,613,92
16588,slide,1572936922460,909,602,92
16589,slide,1572936922476,912,593,92
16590,slide,1572936922493,914,582,92
16591,slide,1572936922510,916,572,92
16592,slide,1572936922526,916,568,92
16593,slide,1572936922543,917,565,92
16594,slide,1572936922560,917,562,92
16595,slide,1572936922577,917,561,92
16596,slide,1572936922593,916,559,92
16597,slide,1572936922610,914,553,92
16598,slide,1572936922626,909,544,92
16599,slide,1572936922643,905,541,92
16600,slide,1572936922660,904,539,92
16601,slide,1572936922677,903,536,92
16602,slide,1572936922694,901,526,92
16603,slide,1572936922710,900,506,92
16604,slide,1572936922726,898,475,92
16605,slide,1572936922743,898,447,92
16606,slide,1572936922759,898,420,92
16607,slide,1572936922776,905,381,92
16608,slide,1572936922794,909,356,92
16609,slide,1572936922810,915,320,92
16610,slide,1572936922827,918,302,92
16611,slide,1572936922843,918,297,92
16612,slide,1572936922860,918,296,92
16613,slide,1572936922924,918,296,92
16614,slide,1572936922944,916,299,92
16615,slide,1572936922961,911,305,92
16616,slide,1572936922977,904,312,92
16617,slide,1572936922993,899,319,92
16618,slide,1572936923009,894,324,92
16619,slide,1572936923027,891,327,92
16620,slide,1572936923048,891,327,92
16621,slide,1572936923102,891,327,92
16622,slide,1572936923110,891,328,92
16623,slide,1572936923159,891,327,92
16624,slide,1572936923177,890,325,92
16625,slide,1572936923193,890,325,92
16626,slide,1572936923210,889,324,92
16627,slide,1572936923226,889,324,92
16628,slide,1572936923243,888,324,92
16629,slide,1572936923259,888,325,92
16630,slide,1572936923277,888,325,92
16631,slide,1572936923360,888,325,92
16632,slide,1572936923384,888,325,92
16633,slide,1572936923394,888,327,92
16634,slide,1572936923410,886,336,92
16635,slide,1572936923427,874,358,92
16636,slide,1572936924400,874,356,92
16637,slide,1572936924410,874,354,92
16638,slide,1572936924427,873,352,92
16639,slide,1572936924444,872,352,92
16640,slide,1572936924493,873,352,92
16641,slide,1572936924509,874,351,92
16642,slide,1572936924525,875,351,92
16643,slide,1572936924544,877,350,92
16644,slide,1572936924560,877,350,92
16645,slide,1572936924666,877,350,92
16646,slide,1572936924675,878,350,92
16647,slide,1572936924693,880,348,92
16648,slide,1572936924711,881,347,92
16649,slide,1572936924727,882,346,92
16650,slide,1572936924838,881,346,92
16651,slide,1572936924846,881,346,92
16652,slide,1572936924860,880,346,92
16653,slide,1572936924876,879,346,92
16654,slide,1572936924893,877,346,92
16655,slide,1572936924910,872,346,92
16656,slide,1572936924927,870,345,92
16657,slide,1572936924944,869,344,92
16658,slide,1572936924960,869,343,92
16659,slide,1572936924978,869,342,92
16660,slide,1572936924993,868,339,92
16661,slide,1572936925010,868,338,92
16662,slide,1572936925145,868,337,92
16663,slide,1572936925160,868,336,92
16664,slide,1572936925177,868,334,92
16665,slide,1572936925194,868,333,92
16666,slide,1572936925210,867,332,92
16667,slide,1572936925226,867,330,92
16668,slide,1572936925243,867,329,92
